name;id;error;time;timeout;results;resultsMin;resultsMax;timestamps;timestampsMin;timestampsMax;httpRequests;restarts
interactive-discover-1;0;false;10374.25;false;6;6;6;10444 10493 10532 10935 10935 10937;10444 10493 10532 10935 10935 10937;10444 10493 10532 10935 10935 10937;127;1
interactive-discover-1;1;false;8029.125;false;4;4;4;7429 7475 7487 8324;7429 7475 7487 8324;7429 7475 7487 8324;19;1
interactive-discover-1;2;false;7594.75;false;1;1;1;7175;7175;7175;16;1
interactive-discover-1;3;false;18296.5;false;14;14;14;7988 7989 8009 8014 10995 11041 11087 11132 11277 11294 11337 11384 11437 18712;7988 7989 8009 8014 10995 11041 11087 11132 11277 11294 11337 11384 11437 18712;7988 7989 8009 8014 10995 11041 11087 11132 11277 11294 11337 11384 11437 18712;223;1
interactive-discover-1;4;false;11016.625;false;8;8;8;12179 12185 13015 13034 13038 13054 13071 13094;12179 12185 13015 13034 13038 13054 13071 13094;12179 12185 13015 13034 13038 13054 13071 13094;122;1
interactive-discover-2;0;false;16075.125;false;66;66;66;8238 8238 8462 8462 8680 8680 8799 8799 8953 8954 9079 9079 9208 9208 9248 9248 9303 9303 9362 9362 9555 9591 9725 9725 9769 9769 9855 9855 9973 9973 10042 10042 10116 10116 10174 10174 10259 10259 10289 10289 10318 10318 10407 10407 10469 10469 10518 10518 10562 10562 10595 10604 10646 10646 10687 10687 10699 10699 10715 10715 11307 11307 14652 21418 21418 21419;8238 8238 8462 8462 8680 8680 8799 8799 8953 8954 9079 9079 9208 9208 9248 9248 9303 9303 9362 9362 9555 9591 9725 9725 9769 9769 9855 9855 9973 9973 10042 10042 10116 10116 10174 10174 10259 10259 10289 10289 10318 10318 10407 10407 10469 10469 10518 10518 10562 10562 10595 10604 10646 10646 10687 10687 10699 10699 10715 10715 11307 11307 14652 21418 21418 21419;8238 8238 8462 8462 8680 8680 8799 8799 8953 8954 9079 9079 9208 9208 9248 9248 9303 9303 9362 9362 9555 9591 9725 9725 9769 9769 9855 9855 9973 9973 10042 10042 10116 10116 10174 10174 10259 10259 10289 10289 10318 10318 10407 10407 10469 10469 10518 10518 10562 10562 10595 10604 10646 10646 10687 10687 10699 10699 10715 10715 11307 11307 14652 21418 21418 21419;128;1
interactive-discover-2;1;false;7967.5;false;46;46;46;7540 7574 7578 7599 7644 7667 7744 7744 7824 7824 7904 7905 7943 7943 7976 7976 8002 8005 8063 8063 8087 8087 8110 8110 8117 8117 8129 8129 8133 8133 8154 8154 8158 8159 8161 8161 8164 8164 8165 8165 8169 8169 8172 8172 8172 8173;7540 7574 7578 7599 7644 7667 7744 7744 7824 7824 7904 7905 7943 7943 7976 7976 8002 8005 8063 8063 8087 8087 8110 8110 8117 8117 8129 8129 8133 8133 8154 8154 8158 8159 8161 8161 8164 8164 8165 8165 8169 8169 8172 8172 8172 8173;7540 7574 7578 7599 7644 7667 7744 7744 7824 7824 7904 7905 7943 7943 7976 7976 8002 8005 8063 8063 8087 8087 8110 8110 8117 8117 8129 8129 8133 8133 8154 8154 8158 8159 8161 8161 8164 8164 8165 8165 8169 8169 8172 8172 8172 8173;20;1
interactive-discover-2;2;false;7904.625;false;32;32;32;8000 8051 8051 8067 8067 8090 8093 8125 8125 8141 8141 8164 8168 8171 8175 8179 8179 8185 8185 8186 8186 8187 8187 8187 8187 8188 8188 8188 8188 8188 8188 8189;8000 8051 8051 8067 8067 8090 8093 8125 8125 8141 8141 8164 8168 8171 8175 8179 8179 8185 8185 8186 8186 8187 8187 8187 8187 8188 8188 8188 8188 8188 8188 8189;8000 8051 8051 8067 8067 8090 8093 8125 8125 8141 8141 8164 8168 8171 8175 8179 8179 8185 8185 8186 8186 8187 8187 8187 8187 8188 8188 8188 8188 8188 8188 8189;17;2
interactive-discover-2;3;false;21592.375;false;198;198;198;8556 8660 8759 8837 8914 8952 9381 9456 9483 9591 9696 9767 9821 10030 10030 10167 10167 10338 10338 10517 10590 10611 11039 11348 11922 12015 12083 12141 12182 12218 12228 12264 12291 12328 12358 12377 12405 12436 12465 12497 12507 12529 12549 12567 12585 12593 12624 12632 12639 12644 12645 12689 12788 12862 12931 13008 13083 15040 15088 15232 15349 15430 15523 15712 15733 15804 15869 15911 15947 15972 15981 16011 16033 16051 16061 16064 16073 16078 16085 16089 16091 16092 16092 16093 16093 16093 16094 16094 16094 16094 16095 16095 16096 16096 16097 16098 16099 16099 16099 16099 16099 16126 16127 16197 16197 19150 19310 19458 19598 19686 19755 19777 19833 19877 19929 19973 20007 20020 20044 20069 20092 20114 20127 20130 20137 20146 20151 20156 20157 20159 20162 20162 20163 20163 20163 20163 20164 20164 20164 20164 20165 20165 20165 20165 20165 20166 20166 20166 20166 20166 20166 20167 20167 20167 20167 20168 20168 20168 20168 20218 20288 20336 20355 20399 20454 20519 20565 20607 22158 22159 22160 22160 22160 22161 22161 22161 22161 22161 22161 22161 22161 22162 22162 22162 22162 22162 22162 22162 22162 22162 22163 22163 22163 22163 22163 22163 22164 22164;8556 8660 8759 8837 8914 8952 9381 9456 9483 9591 9696 9767 9821 10030 10030 10167 10167 10338 10338 10517 10590 10611 11039 11348 11922 12015 12083 12141 12182 12218 12228 12264 12291 12328 12358 12377 12405 12436 12465 12497 12507 12529 12549 12567 12585 12593 12624 12632 12639 12644 12645 12689 12788 12862 12931 13008 13083 15040 15088 15232 15349 15430 15523 15712 15733 15804 15869 15911 15947 15972 15981 16011 16033 16051 16061 16064 16073 16078 16085 16089 16091 16092 16092 16093 16093 16093 16094 16094 16094 16094 16095 16095 16096 16096 16097 16098 16099 16099 16099 16099 16099 16126 16127 16197 16197 19150 19310 19458 19598 19686 19755 19777 19833 19877 19929 19973 20007 20020 20044 20069 20092 20114 20127 20130 20137 20146 20151 20156 20157 20159 20162 20162 20163 20163 20163 20163 20164 20164 20164 20164 20165 20165 20165 20165 20165 20166 20166 20166 20166 20166 20166 20167 20167 20167 20167 20168 20168 20168 20168 20218 20288 20336 20355 20399 20454 20519 20565 20607 22158 22159 22160 22160 22160 22161 22161 22161 22161 22161 22161 22161 22161 22162 22162 22162 22162 22162 22162 22162 22162 22162 22163 22163 22163 22163 22163 22163 22164 22164;8556 8660 8759 8837 8914 8952 9381 9456 9483 9591 9696 9767 9821 10030 10030 10167 10167 10338 10338 10517 10590 10611 11039 11348 11922 12015 12083 12141 12182 12218 12228 12264 12291 12328 12358 12377 12405 12436 12465 12497 12507 12529 12549 12567 12585 12593 12624 12632 12639 12644 12645 12689 12788 12862 12931 13008 13083 15040 15088 15232 15349 15430 15523 15712 15733 15804 15869 15911 15947 15972 15981 16011 16033 16051 16061 16064 16073 16078 16085 16089 16091 16092 16092 16093 16093 16093 16094 16094 16094 16094 16095 16095 16096 16096 16097 16098 16099 16099 16099 16099 16099 16126 16127 16197 16197 19150 19310 19458 19598 19686 19755 19777 19833 19877 19929 19973 20007 20020 20044 20069 20092 20114 20127 20130 20137 20146 20151 20156 20157 20159 20162 20162 20163 20163 20163 20163 20164 20164 20164 20164 20165 20165 20165 20165 20165 20166 20166 20166 20166 20166 20166 20167 20167 20167 20167 20168 20168 20168 20168 20218 20288 20336 20355 20399 20454 20519 20565 20607 22158 22159 22160 22160 22160 22161 22161 22161 22161 22161 22161 22161 22161 22162 22162 22162 22162 22162 22162 22162 22162 22162 22163 22163 22163 22163 22163 22163 22164 22164;224;1
interactive-discover-2;4;false;14556.75;false;98;98;98;7839 7894 7962 8024 8231 8337 8420 8458 8541 8736 8848 8887 9008 9125 9171 9229 9351 9353 9355 9360 9372 9383 9416 9436 9461 9948 10037 10038 10101 10101 10167 10167 10241 10241 10315 10315 10355 10355 10417 10417 10478 10478 10531 10531 10579 10580 10681 10681 10747 10747 10799 10799 10872 10872 10935 10935 11009 11009 11156 11156 11234 11236 11362 11362 11418 11418 11483 11483 11551 11551 11617 11617 11659 11660 11739 15270 15306 15333 15360 15389 15417 15425 15457 15484 15501 15515 15526 15540 15556 15565 15576 15584 15595 15604 15627 15641 15645 21507;7839 7894 7962 8024 8231 8337 8420 8458 8541 8736 8848 8887 9008 9125 9171 9229 9351 9353 9355 9360 9372 9383 9416 9436 9461 9948 10037 10038 10101 10101 10167 10167 10241 10241 10315 10315 10355 10355 10417 10417 10478 10478 10531 10531 10579 10580 10681 10681 10747 10747 10799 10799 10872 10872 10935 10935 11009 11009 11156 11156 11234 11236 11362 11362 11418 11418 11483 11483 11551 11551 11617 11617 11659 11660 11739 15270 15306 15333 15360 15389 15417 15425 15457 15484 15501 15515 15526 15540 15556 15565 15576 15584 15595 15604 15627 15641 15645 21507;7839 7894 7962 8024 8231 8337 8420 8458 8541 8736 8848 8887 9008 9125 9171 9229 9351 9353 9355 9360 9372 9383 9416 9436 9461 9948 10037 10038 10101 10101 10167 10167 10241 10241 10315 10315 10355 10355 10417 10417 10478 10478 10531 10531 10579 10580 10681 10681 10747 10747 10799 10799 10872 10872 10935 10935 11009 11009 11156 11156 11234 11236 11362 11362 11418 11418 11483 11483 11551 11551 11617 11617 11659 11660 11739 15270 15306 15333 15360 15389 15417 15425 15457 15484 15501 15515 15526 15540 15556 15565 15576 15584 15595 15604 15627 15641 15645 21507;123;1
